text,old,new
We need more boards and to create a bit more space for [NAME]. Then we’ll be good.,"['relief', 'optimism']",['neutral']
It might be linked to the trust factor of your friend.,['curiosity'],['neutral']
Hello everyone. Im from Toronto as well. Can call and visit in personal if needed.,['caring'],"['caring', 'neutral']"
R/sleeptrain Might be time for some sleep training. Take a look and try to feel out what's right for your family.,"['caring', 'optimism']",['neutral']
Maybe that’s what happened to the great white at Houston zoo,"['confusion', 'curiosity']","['neutral', 'curiosity']"
His name has already been released. Just can't post it here.,"['neutral', 'annoyance']",['neutral']
What does FPTP have to do with the referendum?,"['confusion', 'curiosity']","['neutral', 'curiosity']"
Famous for his 3-4 Defense,"['admiration', 'neutral']",['neutral']
When I feel down I listen to music.,"['sadness', 'relief']",['neutral']
I know. My question was if they **used** to compete in T5-TTT2.,"['curiosity', 'annoyance']",['neutral']
You can always kneel.,"['admiration', 'approval']",['neutral']
Detective from svu.,['neutral'],['neutral']
Just got home from school. How are we doing,['neutral'],['neutral']
Never get out of the boat.,['fear'],['neutral']
"true I am a troll, but fortunately for me I'm not emotionally invested in it.","['amusement', 'annoyance']",['neutral']
I think the 90 day rule applies to increases over 5%?,"['confusion', 'curiosity']",['neutral']
If they bolt its a feature.,"['amusement', 'annoyance']","['amusement', 'neutral']"
"Hey, I just shared the tweet with the quote. I don't know about all that","['confusion', 'neutral']",['neutral']
Looks like my greyhounds feet,"['confusion', 'curiosity']","['neutral', 'curiosity']"
He left the bench and is back in the locker room with the medical staff,['fear'],['neutral']
"Deluxe always need ingest people, there's also fairly regular openings for media operators.",['neutral'],['neutral']
I think it depends on how many people are awake and passing by at the time of the posting.,['neutral'],['neutral']
"as long as the tracking shows delivered, it's not your responsibility what happens to it after that","['relief', 'approval']","['neutral', 'relief']"
Who do you think can lead the Packers to where they need to be?,"['neutral', 'curiosity']",['neutral']
Whisper me your steam id but it'll be 1-2 hours until I can start playing,['excitement'],['neutral']
"You live in Appalachia, don’t you?",['neutral'],['neutral']
I always just say “thank you” because it’s a nice thought 🤷‍♀️,['gratitude'],"['neutral', 'gratitude']"
[NAME],[],['neutral']
Ask over at r/NewTubers,['neutral'],['neutral']
"Yeah, I was thinking my boy was into them before that. But I doubt Panic! At the Disco would have peaked his interest.",['curiosity'],"['amusement', 'neutral']"
"She doesn’t have to be added to the game for her to be significant, [NAME] was just an extreme example.","['neutral', 'approval']",['neutral']
That's the kind of problem a physical therapist is more qualified to handle. Good luck,"['caring', 'approval']","['neutral', 'approval']"
"I mean, your account is a day old, so I think you’ll be okay.","['amusement', 'approval']","['neutral', 'approval']"
"Me, too, please.",['approval'],['neutral']
"Yes, it's normal. More like considering you options than desperation","['neutral', 'optimism']","['neutral', 'approval']"
It's extremely common. Hell you probably have it yourself and just don't know.,"['disgust', 'annoyance']","['neutral', 'annoyance']"
"You’ve described some states in the South, like ",['neutral'],['neutral']
Doesn't seem like a big deal. I mean is she in the room?,"['confusion', 'neutral']",['neutral']
"I live in the area, and I haven’t noticed the smell anymore the last few times I’ve walked by there.","['relief', 'approval']",['neutral']
I am still a child,['neutral'],['neutral']
Hi [NAME]!,"['caring', 'neutral']",['neutral']
I don't think they consider geometric patters to be abstract art.,"['confusion', 'disapproval']","['disapproval', 'neutral']"
"I'm in Australia, so idk if there's really anything I can do.","['neutral', 'disappointment']",['neutral']
They don't seem to care much. Al qaida or ahrar al sham makes little difference anyway.,"['neutral', 'disapproval']","['neutral', 'disappointment']"
nah me good,"['relief', 'approval']",['neutral']
Please never don't not reproduce.,"['confusion', 'annoyance']",['neutral']
But even then it would need something else to live,"['sadness', 'disappointment']",['neutral']
The important thing to remember is 0 is also a number!,"['admiration', 'approval']","['neutral', 'approval']"
Are you still sitting in the car right now?,['curiosity'],['neutral']
"You can request a hand count at bottle drop, I think","['approval', 'curiosity']",['neutral']
"whats the [NAME] story ? sorry, not up to date on the bloke","['confusion', 'curiosity']","['neutral', 'curiosity']"
Found his burner,"['surprise', 'curiosity']",['neutral']
"Yup. You see more hands, have to learn more to be competitive.. etc",['optimism'],['neutral']
"it's the result of a structural problem inherent in all forms of vanguardism, though. it's not the result of MLs being fascists or not leftists","['disapproval', 'annoyance']",['neutral']
I’m not sure it was [NAME] that changed the definition as much as it was the ATF.,"['confusion', 'neutral']","['confusion', 'neutral']"
I have heard nothing about him this window. If anything it would be summer.,['neutral'],['neutral']
"I go by Ms., but my kids will call me Miss, Mrs. occasionally Mr., and it doesn't really bug me",['amusement'],['neutral']
how do you think money is created? it is largely controlled by the government and is distributed to create certain results in our society.,"['neutral', 'curiosity']",['neutral']
"They can’t ask for much, hes on his last year, it’s similar to us and [NAME]","['realization', 'neutral']",['neutral']
I didn't downvote you so I couldn't tell yah why. It was definitely infected that's why it was red and swollen.,"['confusion', 'neutral']",['neutral']
Maybe if [NAME] is still playing,"['surprise', 'curiosity']","['neutral', 'curiosity']"
