text,ds_emotions,ground_truth,human_intervention
Oh wow I genuinely thought this was funny can’t believe you copped it so hard,"['amusement', 'realization', 'surprise']","['amusement', 'surprise']",0
Are those potatoes on the bottom right...?,['confusion'],['curiosity'],0
No. People just realized how dogs make good companions and the dogs in the US aren’t infested with various diseases compared to the ones in developing countries,['realization'], ['neutral'],0
I love this meme,"['admiration', 'amusement', 'love']","['love', 'joy']",0
Not really. My group of friends are awesome in every way possible except they are homophobic,['approval']," ['admiration', 'disapproval', 'disappointment']",0
"""You're a good man [NAME]."" Yo [NAME], are you watching the same show I am?",['neutral'],"['curiosity', 'approval']",1
The chicken and bacon one sounds absolutely baller. I’ll have to check it out! Thanks,['gratitude'],"['excitement', 'gratitude', 'desire']",0
"But thats for [NAME] and our secret getaway plan to escape to a better life, not this one. Lol",['amusement'],"['amusement', 'desire']",0
You're going to seriously regret this in a few years.,['remorse'], ['disapproval'],1
Credit? For what? Using an old Soviet tactic to insult the church? For encouraging people to kill preists?,['curiosity'],"['anger', 'disapproval']",0
"That's an odd context for ""cockblocked""",['neutral'],['confusion'],0
No that was my cyst that got removed today lol,['amusement'],['amusement'],0
"#""""Haha so relatable omg so me""""","['amusement', 'approval']",['amusement'],0
Wow you’re “like 13” in March then bro welcome to the teenage years (soon),['surprise'],"['excitement', 'approval']",0
"Guys help I can’t stop playing it, my hands are in so much pain!","['disappointment', 'sadness']",['desire'],1
I’ve got bad news for you about NFL locker rooms if you’re offended by homophobic slurs....,['annoyance'],['disapproval'],0
I love u too <3,"['admiration', 'gratitude', 'love']",['love'],0
"Any agreement we will come to will be exploitive because of the power differential, apparently.","['approval', 'curiosity', 'gratitude', 'realization']",['realization'],1
Looks like he tore his patellar ligament,['desire'],['neutral'],0
I'm so glad I grew up playing a shooter made for kids rather than a shooter made for kids.,['gratitude'],['gratitude'],0
Too bad it's the wrong kind of blows!!!,['disapproval'],"['disappointment ', 'amusement']",1
Thanks for sharing your story. I hope you are doing okay now.,"['caring', 'gratitude', 'optimism']","['gratitude', 'caring']",0
"What’s also interesting is that the artist placed the sun right where the building’s exterior light is located, so the sun really shines.",['neutral'],"['approval', 'admiration']",1
The problem is not getting new players but keeping the current ones.,['realization'],"['annoyance', 'disappointment']",0
Whatever mental condition he has is far worse than autism.,"['disgust', 'embarrassment']","['disapproval', 'disgust']",0
"that’s a brilliant photo, your torny looks younger than my one! so cute",['admiration'],"['admiration', 'love']",0
"For me, it's tedious and frustrating enough to do it the first time, but I'm glad you enjoy it","['annoyance', 'disgust', 'joy']","['annoyance', 'approval']",0
"I considered becoming a teacher, but then I considered the little bastards would eat me alive.","['anger', 'disappointment', 'disapproval']","['amusement', 'fear']",0
"It is funny and sad, when faced with the option to laugh or cry I choose laugh",['amusement'],"['amusement', 'sadness']",0
Did you even read my comment???,['neutral'],['annoyance'],0
Such a good one,"['admiration', 'love']",['approval'],0
Even worse.,['disgust'],['disappointment'],0
Given the politics of the time that wasn't unreasonable,['neutral'],['neutral'],0
That troll and his Kotaku cronies have no shame. None at all.,"['anger', 'annoyance', 'disgust', 'realization']","['anger', 'disapproval', 'disgust']",1
Yeah buh idk. I’d have to be really horny too and I’m really shy and anxious around him.,['excitement'],"['nervousness', 'desire']",0
This is the single dumbest defense out there for aim assist. This shit is just retarded.,['annoyance'],['anger'],0
MULTIPLE TIMES NOW IT'S BEEN INCREDIBLY NICE ON THE MOUNTAIN THE DAY DIRECTLY AFTER I GO SKIING.,['admiration'],['annoyance'],0
She's a masochist and gets turned on by how inconvenienced she is,['annoyance'],['amusement'],0
"“Why are you complaining, every team would’ve signed this guy”","['caring', 'curiosity']",['neutral'],0
Well one would believe they have learned their lesson regarding nuclear,['approval'],['neutral'],0
"> It leads to touching and doing inappropriate things with the opposite sex I prefer the same sex, so are these things not inappropriate for me?","['curiosity', 'embarrassment']","['confusion', 'disapproval']",0
If you have bo toleramce you could feel it for a day,['caring'],['annoyance'],0
Allow me to describe the shock and awe I experienced seeing this: **Fuck no why u do this?**,"['anger', 'curiosity']","['anger', 'surprise']",0
"okay, this is epic!",['admiration'],"['excitement', 'amusement']",0
Well being in the playoff picture for a couple months was fun. What does the draft look like this year?,"['curiosity', 'joy']","['curiosity', 'joy']",0
please dont bring a woman in as a sex toy for you both. hire a sex worker instead,['approval'],['disapproval'],1
Please no hate it’s my first post bro please,['approval'],"['nervousness', 'desire']",0
Tell me when you find out how to bowser-wobble,['neutral'],['curiosity'],0
BUT ATHEISTS ARE DOING THE SAME THING AND ARE TREATED BETTER. No. You're just being a bigot.,"['anger', 'annoyance']","['anger', 'disapproval']",0
This chicks stealing his pubes off the toilets seat,['neutral'],"['confusion', 'disgust']",0
There is still time.... though I dont expect anything to change as Activision dont care about the community hell neither do Treyfail,['neutral'],"['disappointment', 'annoyance']",0
"This is a great coming out, I also which it went this well for everyone 🏳️‍🌈","['admiration', 'joy']","['approval', 'admiration']",0
I just woke my wife up to make sure that she was okay before I could lay down.,['optimism'],['caring'],0
Next time just tell her she paid for a Venti so that’s what she is getting😂,['neutral'],['amusement'],0
Neko Atsume is a really wholesome and cozy game too!,['admiration'],['approval'],0
You are saying toxic people try to be the victim by calling you toxic.,['anger'],"['annoyance', 'disapproval']",0
Wasn’t this exact same photo posted here not long ago?,['curiosity'],['annoyance'],0
It only gets worse kiddo. Someone call [NAME] and get this girl an upgrade.,"['anger', 'disgust']","['disapproval', 'annoyance']",0
But that sounds yummy.,['joy'],['desire'],0
Tbh I couldn't tell if he was serious or shitposting,['confusion'],['confusion'],0
"I wake up in a cold sweat at four am on a Tuesday like ""table twelve never got their ranch three Fridays ago"" ",['neutral'],,
"Wow that is one part disgusting and another part a huge waste of time for expecting an entertaining payoff. Warning, this video also includes spoilers for the latest Avengers.","['anger', 'annoyance', 'disgust']",,
I love those possum dives!,['love'],,
"How stupid are you, if you dont réalize it’s staged ",['anger'],,
The saddest thing about this is that most people truly in need are the last ones to ask for help because they don't want to be anyones burden...,['disappointment'],,
He's a alt right MAGA idiot.,['anger'],,
"Syria is at war with Israel, Israel has every right to bomb targets that threaten their nation. ",['approval'],,
"Because you had the audacity to reply when called out makes me think you might have trouble understanding sarcasm, which you have my condolences for.",['disapproval'],,
y i k e s,['remorse'],,
Possible sad tyre,['sadness'],,
"Keep your head straight, stay on your path, and stick to your guns. ",['caring'],,
Not at all. I'm not going to argue with someone who doesn't understand what a strawman is.,"['anger', 'disappointment']",,
poop skeleton,['neutral'],,
"Thank you, what kind of lawyer would be best in this case?","['curiosity', 'gratitude']",,
Every morning!,['neutral'],,
"I thought it was important to celebrate a person for who they are, not who they've banged.",['neutral'],,
People deleting and stop caring IS THE REASON why artifact is under 2k players.,['annoyance'],,
"Yeah, what do you know about her? Her Wikipedia page is pretty barren.",['neutral'],,
< video does a good job explaining push/pull.,['admiration'],,
"Thimerosal isn't even in vaccines anymore, due to the controversy. ",['neutral'],,
"It seems like the problem predates the current administration, which makes me think it has more institutional roots.",['surprise'],,
Sad ni🎈🎈a hours,['neutral'],,
Realize that all those feelings she had for you were lies. She is liar. Don't let her take up space in your head rent free.,['neutral'],,
ok,['neutral'],,
as someone who is a big save the earth guy this is truly awesome and makes me proud to be a fan of the yankees,"['admiration', 'joy']",,
Thank you so much. I fixed it,['gratitude'],,
Wait so the aboleth only kills you if you dont do what the dm says,['annoyance'],,
>Ultimate 12 Inch *notices bulge* *OwO what's this?*,"['curiosity', 'surprise']",,
Just imagine Disney characters without gloves. Yes it's that horrifying,['fear'],,
"ahh bro I jerk off to [NAME], does that make me a future murderer or torture enthusiast in waiting? didn't even know!",['annoyance'],,
You’re the meme this sub jokes about.,['amusement'],,
This is exactly what I’ve been thinking!,['approval'],,
Those not a part of the Austinfred bashing hive mind at the other sub will find themselves here tomorrow. 🙄.,"['disapproval', 'optimism']",,
yeah he was a good defender in Utah,['gratitude'],,
I’ve never heard of this before. That’s awful.,"['disappointment', 'disapproval', 'disgust']",,
"It’s not unlikely that his family was already imprisoned or dead, which gave him the window to run. ",['annoyance'],,
"Same, there was no thanks or consideration that they’d just given her the ‘night off’.",['disappointment'],,
Such a [NAME] thing to do. Next thing we know he will speculate that [NAME] and [NAME] will sign by February 31st at the latest.,['neutral'],,
"Nah it's not that, [NAME] is just boring and sad",['neutral'],,
"out of curiosity, What are you watching?",['curiosity'],,
